?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
10C,0200,10C,0000,000,0000,000,0000,0000,004,0100
10C,0200,10D,0200,10C,0200,000,010C,0000,004,0100
10D,EE1C,10E,EE1C,12A,0000,000,001C,0000,004,0100,12A,0000
10E,AE19,10F,AE19,128,0029,000,0019,0029,000,0000
10F,0740,110,0740,10F,0740,000,010F,0028,001,0001
110,0C00,111,0C00,7FF,0028,7FF,0110,0028,001,0001,7FF,0028
111,D6ED,6ED,D6ED,7FE,0112,7FE,D6ED,0028,001,0001,7FE,0112
6ED,AC01,6EE,AC01,7FF,0028,7FE,0001,0028,001,0001
6EE,F207,6EF,F207,6EE,F207,7FE,06EE,0028,001,0001
6EF,F006,6F0,F006,6EF,F006,7FE,06EF,0028,001,0001
6F0,7E08,6F1,7E08,6F9,08AF,7FE,0008,0028,008,1000
6F1,F904,6F2,F904,6F1,F904,7FE,06F1,0028,008,1000
6F2,0500,6F3,0500,6F2,0028,7FE,06F2,0050,000,0000
6F3,0500,6F4,0500,6F3,0050,7FE,06F3,00A0,000,0000
6F4,6E05,6F5,6E05,6FA,008D,7FE,0005,0013,001,0001
6F5,CE01,6F7,CE01,6F5,06F7,7FE,0001,0013,001,0001
6F7,EC01,6F8,EC01,7FF,0013,7FE,0001,0013,001,0001,7FF,0013
6F8,0A00,112,0A00,7FE,0112,7FF,06F8,0013,001,0001
112,0800,113,0800,7FF,0013,000,0112,0013,001,0001
113,0700,114,0700,113,0700,000,0113,0014,000,0000
114,4E15,115,4E15,12A,0000,000,0015,0014,000,0000
115,EE14,116,EE14,12A,0014,000,0014,0014,000,0000,12A,0014
116,AE12,117,AE12,129,002A,000,0012,002A,000,0000
117,0700,118,0700,117,0700,000,0117,002B,000,0000
118,0C00,119,0C00,7FF,002B,7FF,0118,002B,000,0000,7FF,002B
119,D6ED,6ED,D6ED,7FE,011A,7FE,D6ED,002B,000,0000,7FE,011A
6ED,AC01,6EE,AC01,7FF,002B,7FE,0001,002B,000,0000
6EE,F207,6EF,F207,6EE,F207,7FE,06EE,002B,000,0000
6EF,F006,6F0,F006,6EF,F006,7FE,06EF,002B,000,0000
6F0,7E08,6F1,7E08,6F9,08AF,7FE,0008,002B,008,1000
6F1,F904,6F2,F904,6F1,F904,7FE,06F1,002B,008,1000
6F2,0500,6F3,0500,6F2,002B,7FE,06F2,0056,000,0000
6F3,0500,6F4,0500,6F3,0056,7FE,06F3,00AC,000,0000
6F4,6E05,6F5,6E05,6FA,008D,7FE,0005,001F,001,0001
6F5,CE01,6F7,CE01,6F5,06F7,7FE,0001,001F,001,0001
6F7,EC01,6F8,EC01,7FF,001F,7FE,0001,001F,001,0001,7FF,001F
6F8,0A00,11A,0A00,7FE,011A,7FF,06F8,001F,001,0001
11A,0800,11B,0800,7FF,001F,000,011A,001F,001,0001
11B,0740,11C,0740,11B,0740,000,011B,001E,001,0001
11C,6E0D,11D,6E0D,12A,0014,000,000D,000A,001,0001
11D,EE0C,11E,EE0C,12A,000A,000,000C,000A,001,0001,12A,000A
11E,AE08,11F,AE08,127,0028,000,0008,0028,001,0001
11F,0700,120,0700,11F,0700,000,011F,0029,000,0000
120,0C00,121,0C00,7FF,0029,7FF,0120,0029,000,0000,7FF,0029
121,D6ED,6ED,D6ED,7FE,0122,7FE,D6ED,0029,000,0000,7FE,0122
6ED,AC01,6EE,AC01,7FF,0029,7FE,0001,0029,000,0000
6EE,F207,6EF,F207,6EE,F207,7FE,06EE,0029,000,0000
6EF,F006,6F0,F006,6EF,F006,7FE,06EF,0029,000,0000
6F0,7E08,6F1,7E08,6F9,08AF,7FE,0008,0029,008,1000
6F1,F904,6F2,F904,6F1,F904,7FE,06F1,0029,008,1000
6F2,0500,6F3,0500,6F2,0029,7FE,06F2,0052,000,0000
6F3,0500,6F4,0500,6F3,0052,7FE,06F3,00A4,000,0000
6F4,6E05,6F5,6E05,6FA,008D,7FE,0005,0017,001,0001
6F5,CE01,6F7,CE01,6F5,06F7,7FE,0001,0017,001,0001
6F7,EC01,6F8,EC01,7FF,0017,7FE,0001,0017,001,0001,7FF,0017
6F8,0A00,122,0A00,7FE,0122,7FF,06F8,0017,001,0001
122,0800,123,0800,7FF,0017,000,0122,0017,001,0001
123,0740,124,0740,123,0740,000,0123,0016,001,0001
124,6E05,125,6E05,12A,000A,000,0005,000C,001,0001
125,EE04,126,EE04,12A,000C,000,0004,000C,001,0001,12A,000C
126,0100,127,0100,126,0100,000,0126,000C,001,0001
