timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748418996964,637,Request,200,OK,Stress Testing 1-1,text,true,,231,162,2,2,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,637,0,18
1748418997479,555,Request,200,OK,Stress Testing 1-2,text,true,,231,162,2,2,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,555,0,4
1748418998080,554,Request,200,OK,Stress Testing 1-3,text,true,,231,162,3,3,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,554,0,5
1748418998679,550,Request,200,OK,Stress Testing 1-4,text,true,,231,162,4,4,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,550,0,3
1748418999278,555,Request,200,OK,Stress Testing 1-5,text,true,,231,162,5,5,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,555,0,7
1748418999880,508,Request,200,OK,Stress Testing 1-1,text,true,,231,162,6,6,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,508,0,0
1748418999880,555,Request,200,OK,Stress Testing 1-6,text,true,,231,162,6,6,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,555,0,6
1748419000479,512,Request,200,OK,Stress Testing 1-2,text,true,,231,162,7,7,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,512,0,0
1748419000479,657,Request,200,OK,Stress Testing 1-7,text,true,,231,162,8,8,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,657,0,7
1748419001081,515,Request,200,OK,Stress Testing 1-3,text,true,,231,162,8,8,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,515,0,0
1748419001079,523,Request,200,OK,Stress Testing 1-8,text,true,,231,162,8,8,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,523,0,4
1748419001679,517,Request,200,OK,Stress Testing 1-4,text,true,,231,162,9,9,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,517,0,0
1748419001678,521,Request,200,OK,Stress Testing 1-9,text,true,,231,162,9,9,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,521,0,6
1748419002278,580,Request,200,OK,Stress Testing 1-5,text,true,,231,162,10,10,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,580,0,0
1748419002278,640,Request,200,OK,Stress Testing 1-10,text,true,,231,162,11,11,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,639,0,73
1748419002879,549,Request,200,OK,Stress Testing 1-6,text,true,,231,162,11,11,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,548,0,0
1748419002879,551,Request,200,OK,Stress Testing 1-1,text,true,,231,162,11,11,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,551,0,0
1748419002878,555,Request,200,OK,Stress Testing 1-11,text,true,,231,162,11,11,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,555,0,37
1748419003478,519,Request,200,OK,Stress Testing 1-2,text,true,,231,162,12,12,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,519,0,0
1748419003479,520,Request,200,OK,Stress Testing 1-7,text,true,,231,162,12,12,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,520,0,0
1748419003480,531,Request,200,OK,Stress Testing 1-12,text,true,,231,162,12,12,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,531,0,5
1748419004079,521,Request,200,OK,Stress Testing 1-8,text,true,,231,162,13,13,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,521,0,0
1748419004080,522,Request,200,OK,Stress Testing 1-3,text,true,,231,162,13,13,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,522,0,0
1748419004079,618,Request,200,OK,Stress Testing 1-13,text,true,,231,162,14,14,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,618,0,48
1748419004677,535,Request,200,OK,Stress Testing 1-9,text,true,,231,162,14,14,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,535,0,0
1748419004678,538,Request,200,OK,Stress Testing 1-4,text,true,,231,162,14,14,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,538,0,0
1748419004678,585,Request,200,OK,Stress Testing 1-14,text,true,,231,162,14,14,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,585,0,18
1748419005278,553,Request,200,OK,Stress Testing 1-10,text,true,,231,162,15,15,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,553,0,0
1748419005279,554,Request,200,OK,Stress Testing 1-5,text,true,,231,162,15,15,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,554,0,0
1748419005279,652,Request,200,OK,Stress Testing 1-15,text,true,,231,162,16,16,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,652,0,77
1748419005879,571,Request,200,OK,Stress Testing 1-1,text,true,,231,162,16,16,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,571,0,0
1748419005879,575,Request,200,OK,Stress Testing 1-6,text,true,,231,162,16,16,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,575,0,0
1748419005878,576,Request,200,OK,Stress Testing 1-11,text,true,,231,162,16,16,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,576,0,0
1748419005880,582,Request,200,OK,Stress Testing 1-16,text,true,,231,162,16,16,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,582,0,46
1748419006480,555,Request,200,OK,Stress Testing 1-12,text,true,,231,162,17,17,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,555,0,0
1748419006478,560,Request,200,OK,Stress Testing 1-2,text,true,,231,162,17,17,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,560,0,0
1748419006478,600,Request,200,OK,Stress Testing 1-7,text,true,,231,162,18,18,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,600,0,0
1748419006479,699,Request,200,OK,Stress Testing 1-17,text,true,,231,162,18,18,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,699,0,81
1748419007078,579,Request,200,OK,Stress Testing 1-8,text,true,,231,162,18,18,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,578,0,0
1748419007080,578,Request,200,OK,Stress Testing 1-3,text,true,,231,162,18,18,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,578,0,0
1748419007078,580,Request,200,OK,Stress Testing 1-13,text,true,,231,162,18,18,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,580,0,0
1748419007078,711,Request,200,OK,Stress Testing 1-18,text,true,,231,162,19,19,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,711,0,100
1748419007678,557,Request,200,OK,Stress Testing 1-14,text,true,,231,162,19,19,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,557,0,0
1748419007677,561,Request,200,OK,Stress Testing 1-9,text,true,,231,162,19,19,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,561,0,0
1748419007679,559,Request,200,OK,Stress Testing 1-4,text,true,,231,162,19,19,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,559,0,0
1748419007679,654,Request,200,OK,Stress Testing 1-19,text,true,,231,162,20,20,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,654,0,66
1748419008278,583,Request,200,OK,Stress Testing 1-10,text,true,,231,162,20,20,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,583,0,0
1748419008279,587,Request,200,OK,Stress Testing 1-15,text,true,,231,162,20,20,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,587,0,0
1748419008278,588,Request,200,OK,Stress Testing 1-20,text,true,,231,162,20,20,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,588,0,7
1748419008279,587,Request,200,OK,Stress Testing 1-5,text,true,,231,162,20,20,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,587,0,0
1748419008879,580,Request,200,OK,Stress Testing 1-1,text,true,,231,162,21,21,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,580,0,0
1748419008880,581,Request,200,OK,Stress Testing 1-16,text,true,,231,162,21,21,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,581,0,0
1748419008879,582,Request,200,OK,Stress Testing 1-6,text,true,,231,162,21,21,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,582,0,0
1748419008878,626,Request,200,OK,Stress Testing 1-11,text,true,,231,162,22,22,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,626,0,0
1748419008878,677,Request,200,OK,Stress Testing 1-21,text,true,,231,162,22,22,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,677,0,88
1748419009478,573,Request,200,OK,Stress Testing 1-2,text,true,,231,162,22,22,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,573,0,0
1748419009478,580,Request,200,OK,Stress Testing 1-7,text,true,,231,162,22,22,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,580,0,0
1748419009480,578,Request,200,OK,Stress Testing 1-17,text,true,,231,162,22,22,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,578,0,0
1748419009479,579,Request,200,OK,Stress Testing 1-12,text,true,,231,162,22,22,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,579,0,0
1748419009478,625,Request,200,OK,Stress Testing 1-22,text,true,,231,162,23,23,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,625,0,32
1748419010078,570,Request,200,OK,Stress Testing 1-13,text,true,,231,162,23,23,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,570,0,0
1748419010078,572,Request,200,OK,Stress Testing 1-8,text,true,,231,162,23,23,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,572,0,0
1748419010081,612,Request,200,OK,Stress Testing 1-3,text,true,,231,162,24,24,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,612,0,0
1748419010078,615,Request,200,OK,Stress Testing 1-18,text,true,,231,162,24,24,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,615,0,0
1748419010079,621,Request,200,OK,Stress Testing 1-23,text,true,,231,162,24,24,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,621,0,26
1748419010678,567,Request,200,OK,Stress Testing 1-14,text,true,,231,162,24,24,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,567,0,0
1748419010678,572,Request,200,OK,Stress Testing 1-19,text,true,,231,162,24,24,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,572,0,0
1748419010678,572,Request,200,OK,Stress Testing 1-9,text,true,,231,162,24,24,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,572,0,0
1748419010678,572,Request,200,OK,Stress Testing 1-4,text,true,,231,162,24,24,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,572,0,0
1748419010679,575,Request,200,OK,Stress Testing 1-24,text,true,,231,162,24,24,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,575,0,18
1748419011278,586,Request,200,OK,Stress Testing 1-20,text,true,,231,162,25,25,http://192.168.10.83:8080/?token=495351464&user=-2105800574&config=3,586,0,0
